"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-781 0.0871158946207645 2 13 "GO:0098960" "postsynaptic neurotransmitter receptor activity
" 0.308011629986203
-917 0.140240169376256 3 7 "GO:0099094" "ligand-gated cation channel activity
" 0.379065012274435
299 0.00837283646191943 2 218 "GO:0140097;GO:0016779" "catalytic activity, acting on DNA
" 0.0654632139484586
79 0.609145114818159 2 115 "GO:0140098" "catalytic activity, acting on RNA
" 0.780860664995169
-38 0.848298195479288 3 71 "GO:0140101;GO:0004812;GO:0016875" "catalytic activity, acting on a tRNA
" 0.960935300273218
-345 0.48715383845543 5 11 "GO:1901505" "carbohydrate derivative transmembrane transporter activity
" 0.704725094002952
-1622 0.00182963313210281 2 10 "GO:1901681" "sulfur compound binding
" 0.0208120768776695
